Date,Start Time,End Time,Event,Owner,Visibility,Location,Category
Saturday 9/27/25,9:00AM,10:30AM,Check-In,Team,PUBLIC,Gold Gym,Checkpoint
Saturday 9/27/25,11:00AM,11:45AM,Opening Ceremony,Keerthana,PUBLIC,Maroon Gym,Main Stage
Saturday 9/27/25,12:00PM,,Hacking Officially Begins,Team,PUBLIC,Maroon Gym,Checkpoint
Saturday 9/27/25,1:00PM,2:00PM,Lunch,Team,PUBLIC,Gold Gym,Food
Saturday 9/27/25,7:00PM,8:00PM,Dinner,Team,PUBLIC,Gold Gym,Food
Sunday 9/28/25,7:30AM,8:30AM,Breakfast,Team,PUBLIC,Gold Gym,Food
Sunday 9/28/25,11:00AM,,Devpost Submission Deadline,Cecilia,PUBLIC,Maroon Gym,Judging
Sunday 9/28/25,11:00AM,12:00PM,Lunch,Team,PUBLIC,Gold Gym,Food
Sunday 9/28/25,12:00PM,2:00PM,Judging,Cecilia,PUBLIC,Maroon Gym,Judging
Sunday 9/28/25,3:00PM,4:30PM,Closing Ceremony,Keerthana,PUBLIC,Maroon Gym,Main Stage
